Data_Transakcji,ID_Produktu_Sprzedaz,Region,Ilosc_Sprzedana,Cena_Jednostkowa_Transakcji,Wartosc_Sprzedazy
2025-04-24,1013,Północ,4,2726.0,10904.0
2025-04-02,1072,Zachód,2,3128.66,6257.32
2025-04-18,1018,Południe,5,2688.63,13443.15
2025-05-30,1019,Północ,2,145.59,291.18
2025-04-17,1020,Zachód,1,123.96,123.96
2025-06-10,1031,Wschód,5,236.22,1181.1
2025-06-18,1072,Wschód,5,2936.69,14683.45
2025-05-05,1058,Południe,4,300.89,1203.56
2025-04-21,1032,Wschód,4,141.61,566.44
2025-05-10,1015,Wschód,2,82.75,165.5
2025-04-19,1060,Południe,4,177.76,713.31
2025-05-20,1028,Północ,1,2376.17,2376.17
2025-04-14,1059,Wschód,1,128.85,128.85
2025-04-25,1084,Wschód,3,4717.82,14153.46
2025-06-17,1081,Północ,1,3492.63,3492.63
2025-04-04,1076,Południe,2,565.05,1130.1
2025-06-25,1079,Zachód,2,360.13,720.26
2025-04-07,1083,Wschód,3,4927.14,14781.42
2025-05-05,1001,Wschód,1,322.62,322.62
2025-06-21,1003,Zachód,5,287.02,1435.1
2025-06-01,1035,Zachód,1,3362.82,3366.47
2025-06-11,1032,Południe,2,131.58,263.16
2025-04-08,1092,Wschód,4,307.97,1231.88
2025-04-10,1069,Południe,4,3252.75,13011.0
2025-06-05,1051,Południe,1,202.15,202.15
2025-06-18,1087,Wschód,3,669.07,2007.21
2025-05-31,1090,Wschód,1,3986.31,3986.31
2025-05-06,1063,Południe,2,219.72,439.44
2025-05-21,1091,Wschód,3,3246.51,9739.53
2025-06-22,1080,Wschód,3,3663.78,10991.34
2025-06-24,1020,Zachód,4,123.96,495.84
2025-06-10,1033,Północ,5,143.8,719.0
2025-05-25,1059,Południe,1,130.72,130.72
2025-05-09,1031,Północ,4,246.2,984.8
2025-06-02,1004,Południe,4,299.59,1198.36
2025-06-20,1002,Północ,4,148.98,595.92
2025-04-15,1027,Południe,3,409.48,1228.44
2025-05-06,1010,Północ,5,2571.57,12857.85
2025-04-11,1041,Zachód,5,3912.33,19561.65
2025-05-28,1015,Zachód,2,88.84,177.68
2025-04-03,1093,Południe,2,431.16,862.32
2025-05-25,1019,Południe,5,155.91,779.55
2025-06-20,1070,Południe,2,19.62,39.24
2025-05-04,9999,Północ,2,1512.3,3024.6
2025-05-22,1007,Zachód,4,25.52,102.08
2025-06-30,1097,Zachód,5,1084.14,5420.7
2025-04-29,1045,Zachód,2,1803.2,3606.4
2025-06-09,1063,Wschód,3,233.42,698.35
2025-04-12,1027,Zachód,1,389.57,389.57
2025-06-08,1036,Wschód,5,1686.6,8433.0
2025-06-07,1071,Północ,4,1009.66,4038.64
2025-06-03,1027,Zachód,4,399.95,1599.8
2025-06-22,1019,Północ,4,147.49,589.96
2025-04-17,1100,Północ,3,4666.35,13999.05
2025-06-29,1013,Północ,3,2765.18,8295.54
2025-05-28,1009,Zachód,4,308.59,1234.36
2025-06-23,1044,Zachód,5,2229.92,11149.6
2025-04-11,1094,Północ,1,213.74,213.74
2025-04-14,2318,Północ,1,858.14,858.14
2025-05-04,1044,Południe,1,2174.47,2174.47
2025-06-26,1092,Wschód,1,325.7,325.7
2025-06-09,1053,Południe,3,242.98,728.94
2025-05-28,1047,Zachód,1,1240.63,1240.63
2025-04-05,1005,Wschód,4,934.93,3739.72
2025-04-15,1060,Północ,3,179.45,538.35
2025-04-14,1008,Południe,1,114.66,114.66
2025-04-07,1013,Wschód,3,2613.06,7839.18
2025-06-18,1057,Południe,2,4196.58,8393.16
2025-05-27,1004,Zachód,2,299.96,599.92
2025-06-24,1080,Południe,2,3709.41,7419.8
2025-05-13,1070,Wschód,3,19.95,59.85
2025-05-13,1035,Południe,3,3568.4,10705.2
2025-05-18,1004,Zachód,2,320.22,640.44
2025-05-09,1037,Wschód,2,819.23,1638.46
2025-06-08,1008,Południe,3,122.17,366.51
2025-05-12,1093,Zachód,4,395.43,1581.72
2025-06-24,1022,Południe,4,2086.35,8345.4
2025-06-28,1077,Zachód,5,2367.45,11837.25
2025-05-28,1022,Południe,2,2180.15,4360.3
2025-05-19,1076,Wschód,4,611.07,2444.28
2025-05-27,1057,Południe,3,4357.64,13072.92
2025-06-05,1058,Zachód,2,300.89,601.78
2025-04-16,1026,Zachód,1,160.93,160.93
2025-05-03,1073,Zachód,1,1239.7,1239.7
2025-05-18,1058,Północ,3,300.89,902.67
2025-04-25,1008,Południe,5,118.44,592.2
2025-06-07,1086,Wschód,3,2117.8,6353.4
2025-06-28,1060,Zachód,2,186.68,373.36
2025-04-26,1048,Wschód,1,4495.61,4495.61
2025-04-13,1058,Wschód,3,300.89,902.67
2025-06-26,1061,Południe,2,445.53,891.06
2025-04-26,1084,Południe,5,4439.62,22201.34
2025-05-14,1070,Wschód,1,19.98,19.98
2025-06-19,1060,Zachód,1,194.22,194.22
2025-06-19,1015,Południe,1,83.61,83.61
2025-04-08,1039,Południe,3,407.42,1222.26
2025-05-08,1091,Północ,4,3453.57,13814.28
2025-05-17,1080,Zachód,4,3693.95,14775.8
2025-06-09,1062,Zachód,3,654.91,1964.73
2025-05-29,1062,Północ,1,711.6,711.6
2025-05-21,2967,Północ,4,490.11,1960.44
2025-04-11,1004,Zachód,2,314.35,628.7
2025-05-24,1019,Południe,2,157.55,315.1
2025-04-05,1074,Zachód,4,46.04,184.16
2025-05-31,1072,Zachód,5,2933.59,14667.95
2025-04-02,1004,Północ,3,322.04,966.12
2025-05-05,1068,Wschód,4,119.28,477.12
2025-04-21,1060,Północ,4,179.45,717.8
2025-04-11,1083,Wschód,3,4924.29,14772.87
2025-06-22,1092,Wschód,1,316.67,316.67
2025-04-16,1088,Wschód,2,106.32,212.64
2025-04-01,1006,Wschód,5,54.23,271.15
2025-06-07,1094,Północ,3,213.37,640.11
2025-05-25,1055,Zachód,5,1217.38,6086.9
2025-05-28,1011,Południe,2,58.2,116.4
2025-04-02,1036,Północ,3,1718.08,5154.24
2025-04-11,1045,Wschód,1,1689.32,1689.32
2025-06-14,1025,Zachód,3,2296.44,6889.32
2025-04-01,1055,Wschód,2,1175.02,2350.04
2025-05-03,1043,Wschód,2,335.01,670.02
2025-05-13,1014,Wschód,3,1319.22,3957.66
2025-06-01,1053,Południe,5,236.25,1181.25
2025-04-09,1059,Północ,5,127.73,638.65
2025-04-15,1049,Zachód,2,3566.26,7132.52
2025-05-11,1049,Zachód,3,3804.98,11414.94
2025-06-14,1074,Wschód,3,43.87,131.61
2025-05-05,1053,Południe,5,231.19,1155.95
2025-05-13,1045,Wschód,5,1699.85,8499.25
2025-05-22,1017,Zachód,5,127.44,637.2
2025-05-25,1048,Północ,1,4330.71,4330.71
2025-04-03,1005,Północ,5,957.64,4788.2
2025-05-22,1056,Wschód,3,664.05,1992.15
2025-04-13,1074,Zachód,3,46.3,138.9
2025-05-05,1002,Południe,4,155.45,621.8
2025-04-23,1089,Południe,1,282.65,282.65
2025-05-03,1064,Zachód,2,1539.71,3079.42
2025-06-02,1028,Południe,5,2545.44,12727.2
2025-04-01,1014,Zachód,2,1320.95,2641.9
2025-04-24,1007,Wschód,5,25.6,128.0
2025-05-28,1056,Zachód,3,646.16,1938.48
2025-04-19,1088,Zachód,3,106.55,319.65
2025-04-15,1072,Północ,1,2885.08,2885.08
2025-05-18,1071,Północ,1,926.44,926.44
2025-04-03,1073,Wschód,1,1302.07,1299.36
2025-04-24,1090,Zachód,1,4031.77,4031.77
2025-06-24,1037,Północ,2,886.98,1773.96
2025-06-25,1011,Zachód,2,58.26,116.52
2025-04-09,1045,Zachód,1,1695.06,1695.06
2025-05-15,1093,Zachód,1,399.33,399.33
2025-05-09,1058,Północ,1,300.89,300.89
2025-05-15,1015,Wschód,2,82.74,165.48
2025-06-12,1027,Południe,4,393.12,1572.48
2025-06-04,1080,Południe,4,3646.78,14587.12
2025-05-27,1013,Wschód,5,2679.85,13399.25
2025-04-29,1086,Wschód,5,2004.71,10023.55
2025-05-11,2377,Wschód,1,973.5,973.5
2025-04-24,1090,Północ,3,4061.57,12184.71
2025-05-23,1008,Południe,4,110.73,442.92
2025-05-06,1011,Zachód,4,57.47,229.88
2025-06-07,1034,Zachód,5,4934.43,24672.15
2025-06-19,1001,Wschód,3,329.26,987.78
2025-05-09,1021,Południe,5,570.87,2854.35
2025-04-30,1039,Północ,4,409.03,1636.12
2025-06-17,1019,Południe,2,157.04,314.08
2025-04-03,1100,Wschód,2,4762.34,9524.68
2025-05-29,1043,Południe,5,343.35,1716.75
2025-04-05,1072,Zachód,3,3073.52,9220.56
2025-04-29,1011,Południe,2,60.31,120.62
2025-06-07,1079,Wschód,3,364.6,1093.8
2025-06-05,1019,Północ,2,155.93,311.86
2025-04-23,1015,Zachód,2,89.65,174.91
2025-06-25,1039,Wschód,3,424.16,1272.48
2025-04-06,1020,Zachód,2,124.73,249.46
2025-04-26,1086,Południe,5,2147.24,10736.2
2025-06-05,1064,Południe,5,1525.08,7625.4
2025-05-23,1099,Północ,5,1095.43,5477.15
2025-05-23,1059,Zachód,4,133.21,532.84
2025-04-23,1053,Północ,1,242.0,242.0
2025-06-22,1067,Zachód,2,730.28,1460.56
2025-04-04,1006,Zachód,3,53.51,160.53
2025-05-18,1008,Południe,5,115.41,577.05
2025-04-11,1041,Zachód,1,3816.81,3816.81
2025-04-03,1036,Południe,4,1648.91,6595.64
2025-06-29,1059,Północ,1,136.57,136.57
2025-04-20,1062,Północ,5,685.93,3429.65
2025-05-08,1021,Zachód,4,611.04,2444.16
2025-05-03,1058,Zachód,1,300.89,300.89
2025-06-10,1013,Zachód,3,2748.07,8244.21
2025-05-07,1084,Południe,1,4758.91,4758.91
2025-04-27,1050,Północ,3,99.77,299.31
2025-04-09,1083,Północ,3,5055.18,15165.54
2025-06-19,1009,Wschód,2,318.56,637.12
2025-04-24,1084,Południe,2,4692.22,9384.44
2025-04-01,1056,Wschód,3,674.56,2023.68
2025-05-30,1041,Południe,2,3816.68,7633.36
2025-06-12,1005,Wschód,4,1000.17,4000.68
2025-04-24,1083,Północ,3,5133.69,15399.52
2025-04-04,1027,Wschód,2,389.79,779.58
2025-06-04,1040,Zachód,4,2313.75,9255.0
2025-05-05,1046,Zachód,2,5298.86,10597.72
2025-06-15,1017,Północ,5,126.97,634.85
2025-06-23,1026,Północ,2,168.74,337.48
2025-04-10,1020,Wschód,2,118.98,237.96
2025-04-27,1086,Zachód,2,2007.95,4015.9
2025-04-03,1061,Wschód,3,440.99,1322.97
2025-04-26,1004,Północ,4,293.25,1173.0
2025-06-22,1025,Południe,1,2220.02,2220.02
2025-05-06,1032,Północ,1,143.4,143.4
2025-04-03,1093,Wschód,1,401.53,401.53
2025-04-12,1036,Północ,1,1760.02,1760.02
2025-06-23,1038,Zachód,3,4912.81,14738.43
2025-04-08,1035,Południe,3,3472.32,10421.47
2025-06-10,1047,Północ,1,1253.17,1253.17
2025-05-06,1013,Zachód,1,2754.68,2754.68
2025-06-27,1049,Północ,4,3806.2,15224.8
2025-05-25,1053,Południe,4,229.41,917.64
2025-06-26,1077,Zachód,1,2581.55,2581.55
2025-04-16,1024,Zachód,1,1066.72,1063.12
2025-05-17,1076,Południe,4,570.52,2282.08
2025-04-03,1014,Północ,3,1352.19,4056.57
2025-06-28,1081,Północ,2,3613.45,7226.9
2025-06-26,1035,Północ,5,3360.76,16803.8
2025-06-01,1077,Wschód,4,2595.56,10382.24
2025-05-25,1065,Północ,3,281.86,845.58
2025-04-09,1035,Wschód,3,3501.57,10504.71
2025-05-26,1012,Północ,2,101.68,203.36
2025-04-15,1086,Północ,4,2049.44,8197.76
2025-04-20,1049,Południe,1,3735.39,3735.39
2025-05-24,1052,Wschód,4,3635.03,14540.12
2025-06-06,1047,Północ,4,1323.67,5294.68
2025-04-27,1072,Zachód,2,2895.25,5790.5
2025-06-16,1024,Wschód,1,1034.2,1034.2
2025-05-29,1011,Północ,5,55.94,279.7
2025-05-19,1057,Północ,2,4049.07,8098.14
2025-05-09,1042,Wschód,5,3122.2,15611.0
2025-04-12,1045,Wschód,2,1799.01,3598.02
2025-05-19,1041,Południe,5,3818.31,19091.55
2025-04-21,1095,Południe,5,164.96,824.8
2025-04-04,1065,Wschód,5,265.23,1326.15
2025-06-20,1068,Wschód,5,127.95,639.75
2025-05-07,1070,Południe,3,19.74,59.22
2025-05-15,1017,Południe,2,118.87,237.74
2025-04-01,1023,Zachód,4,3026.04,12104.16
2025-06-02,9999,Zachód,3,1573.31,4719.93
2025-05-19,1044,Północ,1,2115.43,2115.43
2025-06-04,1028,Południe,2,2376.95,4753.9
2025-04-28,1067,Południe,4,737.47,2949.88
2025-04-04,1026,Wschód,3,157.94,473.82
2025-05-13,1057,Wschód,5,4363.74,21818.7
2025-05-06,1091,Wschód,5,3520.39,17601.95
2025-05-31,1088,Północ,5,100.66,503.3
2025-05-25,1089,Północ,5,304.7,1523.02
2025-06-25,1012,Zachód,3,96.09,288.27
2025-05-13,1005,Południe,2,989.07,1978.14
2025-05-20,1036,Południe,4,1716.61,6866.44
2025-04-25,1027,Południe,1,409.57,409.57
2025-06-05,1051,Wschód,5,221.09,1105.45
2025-06-07,1030,Północ,1,149.34,149.34
2025-06-01,1015,Wschód,4,84.77,339.08
2025-04-23,1057,Wschód,4,4218.42,16873.68
2025-04-27,1063,Południe,2,221.85,443.7
2025-04-09,1033,Południe,1,134.09,134.09
2025-05-31,1021,Zachód,1,582.53,582.53
2025-04-21,1042,Wschód,5,3283.75,16418.75
2025-05-14,1029,Północ,3,4586.52,13759.07
2025-04-11,1051,Północ,5,213.55,1067.75
2025-06-10,1016,Wschód,2,905.54,1811.08
2025-05-24,1081,Północ,1,3556.86,3556.27
2025-05-16,1033,Południe,5,133.94,669.7
2025-06-21,1061,Północ,3,437.85,1313.55
2025-06-02,1080,Zachód,4,3818.56,15274.24
2025-06-08,1074,Zachód,1,46.82,46.82
2025-04-22,1059,Wschód,2,138.1,276.2
2025-05-23,1072,Wschód,1,2974.94,2974.94
2025-04-20,1029,Północ,3,4444.22,13332.66
2025-06-16,1020,Północ,2,123.51,247.02
2025-04-19,1053,Południe,2,226.22,452.44
2025-05-11,1047,Północ,2,1244.86,2489.72
2025-06-03,1059,Zachód,3,128.43,385.29
2025-04-05,1080,Wschód,4,3836.28,15345.12
2025-04-06,1054,Zachód,1,2177.94,2177.94
2025-04-14,1100,Południe,4,4502.18,18008.72
2025-04-29,1003,Wschód,4,293.97,1175.88
2025-04-01,1022,Zachód,2,2024.11,4048.22
2025-06-25,1093,Południe,2,410.9,821.8
2025-04-02,2041,Wschód,5,727.41,3637.05
2025-06-05,1020,Południe,2,122.0,244.0
2025-05-14,1067,Północ,4,755.99,3023.96
2025-05-26,1032,Północ,5,140.05,700.25
2025-04-10,1034,Północ,5,4940.01,24700.05
2025-04-06,1087,Północ,1,647.08,647.08
2025-06-06,1021,Północ,4,573.81,2295.24
2025-05-07,1067,Północ,1,727.64,727.64
2025-06-06,1047,Północ,5,1216.97,6084.85
2025-06-26,1063,Południe,1,229.22,229.22
2025-04-24,1046,Zachód,2,5127.22,10254.44
2025-05-21,1046,Południe,3,5350.13,16050.39
2025-04-04,1031,Północ,5,235.43,1180.6
2025-06-25,1025,Południe,4,2286.97,9147.88
2025-04-13,1021,Północ,4,564.74,2258.96
2025-04-05,1020,Wschód,5,122.55,612.75
2025-04-17,1010,Południe,2,2719.62,5439.24
2025-04-24,1098,Południe,1,71.79,71.79
2025-04-27,1009,Południe,1,292.77,292.77
2025-04-20,1015,Zachód,1,83.23,83.23
2025-06-21,1090,Wschód,4,3957.19,15828.76
2025-06-07,1006,Południe,3,57.01,171.03
2025-04-20,1094,Północ,5,216.5,1082.5
2025-06-29,1082,Wschód,1,384.22,384.22
2025-05-06,1032,Zachód,2,130.55,261.1
2025-06-25,1012,Wschód,1,98.71,98.71
2025-05-21,1056,Północ,5,674.44,3372.2
2025-06-10,1035,Północ,4,3356.01,13424.04
2025-06-23,1019,Południe,3,159.67,479.01
2025-05-24,1053,Północ,3,235.79,707.37
2025-04-01,1013,Zachód,1,2653.11,2653.11
2025-05-23,1081,Północ,2,3623.72,7247.44
2025-04-13,1004,Północ,4,320.81,1283.24
2025-06-25,1083,Południe,3,4983.94,14955.31
2025-06-12,1060,Zachód,3,194.17,582.51
2025-04-22,1023,Północ,5,2837.01,14187.14
2025-05-10,1005,Północ,3,968.12,2904.36
2025-06-09,1068,Zachód,1,127.51,127.51
2025-05-13,1077,Południe,2,2494.06,4988.12
2025-06-27,1051,Zachód,4,213.42,853.68
2025-04-26,1040,Wschód,5,2406.32,12031.6
2025-05-31,1006,Północ,5,52.5,262.5
2025-05-22,1030,Północ,3,154.2,462.6
2025-05-22,1046,Zachód,4,4965.98,19863.92
2025-06-20,1033,Południe,4,138.16,552.64
2025-05-18,1094,Południe,2,212.92,425.84
2025-06-23,1006,Północ,4,52.32,209.28
2025-04-13,1030,Wschód,4,154.8,619.2
2025-04-10,1029,Północ,3,4644.75,13934.25
2025-05-19,1081,Zachód,4,3637.47,14549.88
2025-04-25,1034,Wschód,2,4707.54,9415.08
2025-05-08,1076,Zachód,1,567.82,567.82
2025-05-24,1055,Wschód,3,1201.99,3605.97
2025-05-08,1097,Północ,1,1076.75,1076.75
2025-05-14,1094,Południe,3,213.76,641.28
2025-06-07,1077,Wschód,1,2437.1,2437.1
2025-06-04,1010,Północ,1,2795.78,2795.78
2025-04-23,1016,Zachód,2,891.47,1782.01
2025-05-27,1040,Południe,5,2346.71,11733.55
2025-06-23,1058,Zachód,4,300.89,1203.56
2025-04-01,1020,Południe,3,118.15,354.45
2025-05-31,1100,Wschód,1,4589.67,4589.67
2025-06-18,1014,Wschód,2,1316.75,2633.57
2025-05-06,1058,Zachód,2,300.89,601.78
2025-06-04,1076,Północ,2,599.9,1199.8
2025-06-25,1055,Zachód,4,1178.18,4712.72
2025-06-02,1046,Wschód,1,5242.55,5242.55
2025-06-18,1084,Północ,3,4550.75,13652.25
2025-06-13,1065,Zachód,4,268.74,1074.96
2025-06-13,9999,Południe,5,1573.06,7865.3
2025-04-19,1072,Wschód,5,2896.77,14483.85
2025-04-12,1001,Północ,5,351.69,1758.45
2025-04-29,2017,Północ,2,759.35,1518.7
2025-06-30,1001,Wschód,2,334.92,669.84
2025-06-22,1082,Wschód,2,367.05,734.1
2025-05-24,1001,Wschód,1,354.79,354.79
2025-04-06,1080,Północ,1,3675.36,3679.52
2025-06-03,1071,Północ,5,957.47,4787.35
2025-06-17,1062,Zachód,1,717.12,717.12
2025-06-17,1094,Zachód,3,204.0,612.0
2025-04-20,1014,Północ,1,1385.1,1385.1
2025-05-14,1041,Północ,3,3807.83,11423.49
2025-05-27,1094,Południe,3,221.83,665.49
2025-04-07,2980,Południe,5,774.16,3875.12
2025-05-14,1045,Wschód,3,1716.56,5146.6
2025-04-30,1063,Wschód,5,220.0,1100.0
2025-05-11,1031,Wschód,4,235.47,941.88
2025-05-17,2381,Południe,2,585.1,1170.2
2025-05-29,1004,Zachód,5,298.54,1492.7
2025-04-12,1008,Wschód,1,119.27,119.27
2025-04-09,1033,Południe,4,145.2,580.8
2025-06-07,1087,Zachód,3,678.55,2035.65
2025-04-15,1007,Zachód,5,24.65,123.25
2025-06-28,2570,Północ,4,968.54,3874.16
2025-05-08,1033,Północ,1,138.93,138.93
2025-05-25,1018,Zachód,5,2809.15,14045.75
2025-05-21,1020,Zachód,1,123.94,123.94
2025-06-28,1045,Północ,4,1828.33,7313.32
2025-04-06,1018,Południe,5,2662.55,13312.75
2025-04-22,1032,Zachód,5,143.06,715.3
2025-04-24,1045,Wschód,3,1702.17,5106.51
2025-05-04,1067,Północ,2,712.41,1424.82
2025-05-07,1013,Zachód,1,2694.13,2694.13
2025-05-27,1088,Południe,4,104.54,418.16
2025-04-15,1041,Północ,5,3792.63,18963.15
2025-05-02,1025,Północ,4,2339.23,9356.92
2025-06-07,1025,Północ,3,2132.41,6397.23
2025-04-18,1099,Zachód,3,1107.74,3323.22
2025-05-21,1013,Zachód,1,2837.14,2837.14
2025-04-04,1092,Zachód,4,308.5,1234.0
2025-06-05,1035,Północ,3,3329.79,9989.37
2025-04-28,1079,Wschód,4,353.33,1413.32
2025-04-03,1075,Wschód,3,103.57,309.41
2025-06-25,1018,Północ,4,2691.85,10767.4
2025-04-15,1013,Wschód,2,2803.8,5607.6
2025-04-08,1009,Północ,5,321.0,1605.0
2025-04-01,1040,Południe,4,2234.45,8937.8
2025-05-26,1034,Południe,2,4623.21,9246.42
2025-05-01,1027,Wschód,5,390.31,1951.55
2025-06-24,1048,Północ,2,4368.86,8738.39
2025-04-28,1048,Północ,1,4390.42,4390.42
2025-04-22,1001,Wschód,5,327.0,1635.0
2025-06-21,1014,Południe,5,1333.1,6667.83
2025-05-26,1075,Północ,1,103.23,103.23
2025-05-16,1084,Wschód,5,4670.02,23350.1
2025-05-29,1011,Północ,2,57.57,115.14
2025-04-05,1066,Zachód,1,89.71,89.71
2025-04-29,1077,Południe,3,2476.17,7428.51
2025-04-03,1033,Zachód,1,134.28,134.28
2025-05-27,1056,Wschód,3,680.47,2041.41
2025-04-08,1087,Zachód,2,684.09,1368.18
2025-04-26,1006,Południe,3,54.12,162.36
2025-05-19,1089,Północ,3,283.74,851.22
2025-05-23,1061,Zachód,4,445.63,1782.52
2025-05-19,1069,Północ,1,3369.46,3369.46
2025-04-29,1049,Południe,3,3723.78,11171.34
2025-04-11,1054,Południe,4,2079.02,8316.08
2025-04-21,1032,Południe,2,137.05,274.1
2025-06-01,1016,Południe,2,927.61,1855.22
2025-04-05,1004,Wschód,2,320.68,641.36
2025-04-11,1062,Południe,4,656.93,2627.72
2025-04-25,1061,Wschód,3,458.98,1376.94
2025-06-22,1058,Północ,5,300.89,1504.45
2025-05-13,1048,Wschód,4,4564.21,18256.84
2025-06-17,1048,Północ,1,4512.24,4512.24
2025-06-20,1069,Zachód,4,3309.68,13238.72
2025-05-28,1074,Wschód,2,44.79,89.58
